ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
211.75.163.7,211-75-163-7.HINET-IP.hinet.net.,TW,Taipei,,,false,0.98,2019-03-23T12:22:46Z,2015-01-08T03:27:17Z
213.130.118.107,ns2.qmc.qa.,QA,Doha,,,false,0.97,2019-03-23T12:22:46Z,2015-01-08T03:28:58Z
212.58.7.96,rev.96.7.58.212.doruk.net.tr.,TR,,,,false,0.98,2019-03-23T12:22:45Z,2015-01-08T03:30:06Z
203.211.131.27,ron.denron.com.sg.,SG,,Microsoft DNS 6.1.7601 (1DB15D39),,false,0.99,2019-03-23T12:23:06Z,2015-01-08T03:31:04Z
183.100.83.58,,KR,Pyeongtaek-si,,,false,0.97,2019-03-23T12:22:49Z,2015-01-08T03:32:27Z
94.182.192.222,94-182-192-222.shatel.ir.,IR,,,,false,0.98,2019-03-23T12:22:46Z,2015-01-08T03:35:01Z
77.105.0.17,,RS,Belgrade,,,false,0.97,2019-03-23T12:22:45Z,2015-01-08T03:35:59Z
118.140.3.165,,HK,Central,dnsmasq-2.70,,false,0.98,2019-03-23T12:22:47Z,2015-01-08T03:36:10Z
212.204.55.162,mail.skn.de.,DE,Schwedt,dnsmasq-2.63rc6,,false,0.96,2019-03-23T12:22:45Z,2015-01-08T03:36:57Z
216.105.185.183,183.185-24.cm.ptn.tftn.dynamic.friendlycity.net.,US,Tifton,9.9.4-RedHat-9.9.4-72.el7,,false,0.95,2019-03-23T12:22:46Z,2015-01-08T03:41:46Z
62.219.165.91,bzq-165-91.dsl.bezeqint.net.,IL,Tel Aviv,dnsmasq-2.50,,true,0.98,2019-03-23T12:22:49Z,2015-01-08T03:42:25Z
